Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                    102.243584
Total Return [%]                               2.243584
Benchmark Return [%]                         -26.166137
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                              24.048911
Max Drawdown Duration                              94.0
Total Trades                                          3
Total Closed Trades                                   2
Total Open Trades                                     1
Open Trade PnL                               -14.542991
Win Rate [%]                                       50.0
Best Trade [%]                                19.817533
Worst Trade [%]                               -2.529645
Avg Winning Trade [%]                         19.817533
Avg Losing Trade [%]                          -2.529645
Avg Winning Trade Duration                         18.0
Avg Losing Trade Duration                          71.0
Profit Factor                                  6.538373
Expectancy                                     8.393288
