Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                         150.0
Total Return [%]                                   50.0
Benchmark Return [%]                         140.540534
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                              18.518522
Max Drawdown Duration                              12.0
Total Trades                                          1
Total Closed Trades                                   1
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                      100.0
Best Trade [%]                                     50.0
Worst Trade [%]                                    50.0
Avg Winning Trade [%]                              50.0
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration                         18.0
Avg Losing Trade Duration                           NaN
Profit Factor                                       inf
Expectancy                                         50.0
