Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                    140.582402
Total Return [%]                              40.582402
Benchmark Return [%]                          98.576657
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                               6.687605
Max Drawdown Duration                              11.0
Total Trades                                          2
Total Closed Trades                                   1
Total Open Trades                                     1
Open Trade PnL                                16.263531
Win Rate [%]                                      100.0
Best Trade [%]                                24.318871
Worst Trade [%]                               24.318871
Avg Winning Trade [%]                         24.318871
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration                         27.0
Avg Losing Trade Duration                           NaN
Profit Factor                                       inf
Expectancy                                    24.318871
