Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                    136.712484
Total Return [%]                              36.712484
Benchmark Return [%]                          15.427101
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                              15.686277
Max Drawdown Duration                              25.0
Total Trades                                          2
Total Closed Trades                                   2
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                      100.0
Best Trade [%]                                23.888625
Worst Trade [%]                               10.351119
Avg Winning Trade [%]                         17.119872
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration                         32.5
Avg Losing Trade Duration                           NaN
Profit Factor                                       inf
Expectancy                                    18.356242
