Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                    143.341516
Total Return [%]                              43.341516
Benchmark Return [%]                          -2.217932
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                              21.385378
Max Drawdown Duration                             107.0
Total Trades                                          2
Total Closed Trades                                   2
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                      100.0
Best Trade [%]                                32.246375
Worst Trade [%]                                8.389751
Avg Winning Trade [%]                         20.318063
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration                         41.0
Avg Losing Trade Duration                           NaN
Profit Factor                                       inf
Expectancy                                    21.670758
