Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    125.333273
Total Return [%]                              25.333273
Benchmark Return [%]                         -26.166137
Max Gross Exposure [%]                            100.0
Total Fees Paid                                1.436006
Max Drawdown [%]                              12.810009
Max Drawdown Duration                  78 days 00:00:00
Total Trades                                          7
Total Closed Trades                                   7
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                  42.857143
Best Trade [%]                                18.534824
Worst Trade [%]                               -5.097508
Avg Winning Trade [%]                         10.711595
Avg Losing Trade [%]                           -1.84012
Avg Winning Trade Duration             18 days 16:00:00
Avg Losing Trade Duration              10 days 12:00:00
Profit Factor                                  4.356822
Expectancy                                     3.619039
Sharpe Ratio                                   1.496211
Calmar Ratio                                   3.048546
Omega Ratio                                    1.384582
Sortino Ratio                                  2.596286
