Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    259.830426
Total Return [%]                             159.830426
Benchmark Return [%]                         140.540534
Max Gross Exposure [%]                            100.0
Total Fees Paid                                0.893831
Max Drawdown [%]                              38.172045
Max Drawdown Duration                  72 days 00:00:00
Total Trades                                          3
Total Closed Trades                                   2
Total Open Trades                                     1
Open Trade PnL                                46.497959
Win Rate [%]                                      100.0
Best Trade [%]                                83.715999
Worst Trade [%]                               16.189847
Avg Winning Trade [%]                         49.952923
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration             48 days 12:00:00
Avg Losing Trade Duration                           NaT
Profit Factor                                       inf
Expectancy                                    56.666233
Sharpe Ratio                                    1.94272
Calmar Ratio                                   7.941207
Omega Ratio                                    1.502703
Sortino Ratio                                  3.590516
