Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    167.632852
Total Return [%]                              67.632852
Benchmark Return [%]                           9.811769
Max Gross Exposure [%]                            100.0
Total Fees Paid                                2.518558
Max Drawdown [%]                              13.566389
Max Drawdown Duration                  93 days 00:00:00
Total Trades                                          8
Total Closed Trades                                   8
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                       37.5
Best Trade [%]                                67.964808
Worst Trade [%]                               -8.974687
Avg Winning Trade [%]                         27.355461
Avg Losing Trade [%]                          -2.652487
Avg Winning Trade Duration             29 days 00:00:00
Avg Losing Trade Duration               3 days 14:24:00
Profit Factor                                  3.853664
Expectancy                                     8.454106
Sharpe Ratio                                   1.915967
Calmar Ratio                                   8.299963
Omega Ratio                                    1.506714
Sortino Ratio                                  3.230272
