Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    203.550269
Total Return [%]                             103.550269
Benchmark Return [%]                          73.300084
Max Gross Exposure [%]                            100.0
Total Fees Paid                                2.164972
Max Drawdown [%]                              22.566668
Max Drawdown Duration                  98 days 00:00:00
Total Trades                                          7
Total Closed Trades                                   6
Total Open Trades                                     1
Open Trade PnL                                23.317129
Win Rate [%]                                  66.666667
Best Trade [%]                                62.743212
Worst Trade [%]                               -4.525733
Avg Winning Trade [%]                         20.924802
Avg Losing Trade [%]                          -4.430009
Avg Winning Trade Duration             24 days 12:00:00
Avg Losing Trade Duration              15 days 00:00:00
Profit Factor                                  5.784395
Expectancy                                     13.37219
Sharpe Ratio                                   2.352205
Calmar Ratio                                   8.076839
Omega Ratio                                    1.464828
Sortino Ratio                                  3.967925
