Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    115.452794
Total Return [%]                              15.452794
Benchmark Return [%]                         -45.321639
Max Gross Exposure [%]                            100.0
Total Fees Paid                                 1.72302
Max Drawdown [%]                                5.68872
Max Drawdown Duration                 113 days 00:00:00
Total Trades                                          8
Total Closed Trades                                   8
Total Open Trades                                     0
Open Trade PnL                                      0.0
Win Rate [%]                                       62.5
Best Trade [%]                                 9.245091
Worst Trade [%]                               -4.925003
Avg Winning Trade [%]                          4.241967
Avg Losing Trade [%]                          -2.027277
Avg Winning Trade Duration              6 days 19:12:00
Avg Losing Trade Duration               4 days 00:00:00
Profit Factor                                  3.301677
Expectancy                                     1.931599
Sharpe Ratio                                   1.215721
Calmar Ratio                                   4.103183
Omega Ratio                                    1.573284
Sortino Ratio                                  2.294661
