Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                250 days 00:00:00
Start Value                                       100.0
End Value                                    134.938997
Total Return [%]                              34.938997
Benchmark Return [%]                          -2.217932
Max Gross Exposure [%]                            100.0
Total Fees Paid                                0.545197
Max Drawdown [%]                              27.745546
Max Drawdown Duration                  97 days 00:00:00
Total Trades                                          3
Total Closed Trades                                   2
Total Open Trades                                     1
Open Trade PnL                                20.945392
Win Rate [%]                                      100.0
Best Trade [%]                                 8.663356
Worst Trade [%]                                4.918556
Avg Winning Trade [%]                          6.790956
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration             56 days 00:00:00
Avg Losing Trade Duration                           NaT
Profit Factor                                       inf
Expectancy                                     6.996803
Sharpe Ratio                                   1.167676
Calmar Ratio                                   1.978044
Omega Ratio                                    1.250182
Sortino Ratio                                  1.700812
