Start                          2021-10-18 03:00:00+00:00
End                            2022-10-17 03:00:00+00:00
Period                                 250 days 00:00:00
Start Value                                        100.0
End Value                                      131.37148
Total Return [%]                                31.37148
Benchmark Return [%]                          -15.876043
Max Gross Exposure [%]                             100.0
Total Fees Paid                                 3.797049
Max Drawdown [%]                               15.823013
Max Drawdown Duration                   46 days 00:00:00
Total Trades                                          15
Total Closed Trades                                   15
Total Open Trades                                      0
Open Trade PnL                                       0.0
Win Rate [%]                                   46.666667
Best Trade [%]                                 14.107071
Worst Trade [%]                                -6.032483
Avg Winning Trade [%]                           8.565714
Avg Losing Trade [%]                           -3.635974
Avg Winning Trade Duration    13 days 06:51:25.714285714
Avg Losing Trade Duration                3 days 15:00:00
Profit Factor                                   1.805293
Expectancy                                      2.091432
Sharpe Ratio                                    1.380281
Calmar Ratio                                    3.092969
Omega Ratio                                     1.296208
Sortino Ratio                                   2.206915
